Date,Region,Product,Category,Units Sold,Unit Price,Total Sales,Profit Margin (%)
2024-01-15,North,Tablet,Electronics,32.0,570.3362222222222,26096.32307692308,10.0
2024-04-03,South,Laptop,Gadgets,52.30769230769231,670.28,3103.0,9.804878048780488
2024-03-15,West,Tablet,Gadgets,47.0,241.65,26096.32307692308,12.0
2024-01-09,West,Phone,Gadget,52.30769230769231,570.3362222222222,26096.32307692308,9.804878048780488
2024-01-26,South,Desktop,Elec,52.30769230769231,100.76,26096.32307692308,8.0
2024-04-06,North,Tablet,Elec,52.30769230769231,570.3362222222222,26096.32307692308,9.804878048780488
2024-03-03,South,Tablet,Elec,52.30769230769231,348.6,7352.0,9.804878048780488
2024-03-03,South,Laptop,Electronics,28.0,655.07,26096.32307692308,8.0
2024-01-20,East,Desktop,Gadget,52.30769230769231,803.81,26096.32307692308,9.804878048780488
2024-04-25,South,Tablet,Electronics,52.30769230769231,540.16,26096.32307692308,10.0
2024-01-14,East,Monitor,Gadget,52.30769230769231,867.19,12754.0,12.0
2024-04-20,North,Monitor,Elec,35.0,906.89,14079.0,9.804878048780488
2024-04-30,West,Tablet,Elec,52.30769230769231,682.38,26096.32307692308,8.0
2024-02-11,West,Phone,Gadgets,87.0,570.3362222222222,26096.32307692308,8.0
2024-03-30,West,Phone,Gadgets,32.0,771.88,26096.32307692308,12.0
2024-02-24,South,Monitor,Gadgets,24.0,435.27,25846.0,9.804878048780488
2024-04-13,North,Monitor,Gadget,52.30769230769231,570.3362222222222,1829.0,10.0
2024-02-04,East,Monitor,Elec,52.30769230769231,570.3362222222222,23046.0,9.804878048780488
2024-04-07,South,Tablet,Gadgets,52.30769230769231,911.02,46336.0,9.804878048780488
2024-02-17,West,Tablet,Gadget,52.30769230769231,438.45,26096.32307692308,9.804878048780488
2024-03-28,North,Laptop,Elec,52.30769230769231,221.71,26096.32307692308,12.0
2024-02-12,North,Monitor,Gadgets,52.30769230769231,570.3362222222222,31768.0,8.0
2024-02-20,North,Laptop,Electronics,52.30769230769231,741.91,26096.32307692308,9.804878048780488
2024-04-27,East,Laptop,Elec,52.30769230769231,200.97,26096.32307692308,10.0
2024-03-28,South,Phone,Gadget,19.0,570.3362222222222,26096.32307692308,10.0
2024-02-07,North,Desktop,Electronics,52.30769230769231,570.3362222222222,49835.0,10.0
2024-04-12,East,Laptop,Elec,52.30769230769231,570.3362222222222,26096.32307692308,9.804878048780488
2024-04-26,East,Monitor,Elec,52.30769230769231,925.37,26096.32307692308,9.804878048780488
2024-02-20,North,Desktop,Electronics,51.0,570.3362222222222,26096.32307692308,9.804878048780488
2024-04-03,South,Phone,Elec,52.30769230769231,386.04,30143.0,10.0
2024-02-17,North,Tablet,Electronics,52.30769230769231,570.3362222222222,26096.32307692308,10.0
2024-04-10,North,Tablet,Electronics,52.30769230769231,570.3362222222222,26096.32307692308,10.0
2024-04-08,North,Tablet,Elec,52.30769230769231,126.77,47052.0,9.804878048780488
2024-02-09,North,Laptop,Gadgets,77.0,107.26,26096.32307692308,12.0
2024-02-25,South,Laptop,Gadgets,52.30769230769231,672.85,49630.0,10.0
2024-02-11,North,Desktop,Elec,57.0,746.38,26096.32307692308,9.804878048780488
2024-03-24,South,Desktop,Gadget,52.30769230769231,561.13,26096.32307692308,10.0
2024-01-12,North,Tablet,Gadgets,52.30769230769231,416.23,26096.32307692308,10.0
2024-04-13,South,Tablet,Gadgets,52.30769230769231,570.3362222222222,26096.32307692308,10.0
2024-02-15,South,Tablet,Gadgets,52.30769230769231,570.3362222222222,26096.32307692308,12.0
2024-04-01,West,Laptop,Elec,52.30769230769231,844.45,26096.32307692308,9.804878048780488
2024-02-05,South,Laptop,Electronics,95.0,496.71,26096.32307692308,9.804878048780488
2024-04-27,West,Laptop,Electronics,18.0,570.3362222222222,26096.32307692308,8.0
2024-02-07,East,Monitor,Elec,52.30769230769231,817.81,10101.0,10.0
2024-01-06,North,Laptop,Electronics,52.30769230769231,315.98,26096.32307692308,8.0
2024-01-19,East,Monitor,Elec,52.30769230769231,508.16,26096.32307692308,12.0
2024-04-16,North,Tablet,Gadgets,52.30769230769231,935.02,28298.0,9.804878048780488
2024-03-21,North,Tablet,Gadgets,52.30769230769231,570.3362222222222,26096.32307692308,9.804878048780488
2024-03-20,West,Laptop,Elec,32.0,212.24,26096.32307692308,10.0
2024-02-08,South,Desktop,Electronics,91.0,600.4,26096.32307692308,8.0
2024-03-10,West,Phone,Electronics,99.0,394.91,17806.0,10.0
2024-03-10,North,Phone,Elec,52.30769230769231,379.24,26096.32307692308,10.0
2024-01-13,South,Laptop,Gadgets,42.0,492.3,26096.32307692308,10.0
2024-01-29,North,Monitor,Electronics,52.30769230769231,657.54,26096.32307692308,9.804878048780488
